engine,engine_label,n,dimensions,cache_mb,clusters,noise,batch,accuracy,hnsw_m,hnsw_ef_add,hnsw_ef,inserts_per_s,updates_per_s,mixed_per_s,mem_mb,warm_mem_mb,disk_mb,save_ms,run_seconds,error
memory,MemorySemanticIndex,500,1536,10,200,1,5000,0.25,16,128,64,34227.82,1245640.259,16176.53,2.99,3.665,2.935,13.732,3.073,
ivs,IVSVectorIndex,500,1536,10,200,1,5000,0.25,16,128,64,24530.486,1180080.245,12210.538,3.015,7.157,2.932,8.559,2.685,
hnsw,HnswVectorIndex,500,1536,10,200,1,5000,0.25,16,128,64,1499.446,1723.185,1237.409,4.823,13.561,3.799,5.641,6.595,
memory,MemorySemanticIndex,500,1536,100,200,1,5000,0.25,16,128,64,35854.374,1522997.259,16039.678,2.99,3.651,2.935,13.002,2.706,
ivs,IVSVectorIndex,500,1536,100,200,1,5000,0.25,16,128,64,23262.955,1488981.537,12376.619,3.015,7.165,2.932,7.768,2.71,
hnsw,HnswVectorIndex,500,1536,100,200,1,5000,0.25,16,128,64,6918.28,1920.664,4604.268,34.441,42.811,3.799,5.944,3.582,
memory,MemorySemanticIndex,500,1536,500,200,1,5000,0.25,16,128,64,34316.854,1376651.982,16480.265,2.99,3.663,2.935,12.765,2.809,
ivs,IVSVectorIndex,500,1536,500,200,1,5000,0.25,16,128,64,26217.818,1410835.214,12362.271,3.015,7.165,2.932,8.767,2.686,
hnsw,HnswVectorIndex,500,1536,500,200,1,5000,0.25,16,128,64,6797.366,1851.333,4502.875,34.446,42.816,3.799,5.828,3.583,
memory,MemorySemanticIndex,500,1536,2000,200,1,5000,0.25,16,128,64,36147.54,1419647.927,16205.813,2.99,3.655,2.935,12.734,2.702,
ivs,IVSVectorIndex,500,1536,2000,200,1,5000,0.25,16,128,64,24762.159,1291322.314,12790.365,3.015,7.157,2.932,8.847,2.687,
hnsw,HnswVectorIndex,500,1536,2000,200,1,5000,0.25,16,128,64,6870.142,1941.144,4489.828,34.451,42.819,3.799,5.625,3.565,
