engine,engine_label,n,dimensions,cache_mb,clusters,noise,batch,accuracy,hnsw_m,hnsw_ef_add,hnsw_ef,inserts_per_s,updates_per_s,mixed_per_s,mem_mb,warm_mem_mb,disk_mb,save_ms,run_seconds,error
memory,MemorySemanticIndex,500,1536,10,200,1,5000,0.25,16,128,64,33045.616,1323451.562,16173.871,2.99,3.667,2.935,14.358,2.719,
ivs,IVSVectorIndex,500,1536,10,200,1,5000,0.25,16,128,64,25748.774,1291989.664,11401.538,3.015,7.157,2.932,7.354,2.739,
hnsw,HnswVectorIndex,500,1536,10,200,1,5000,0.25,16,128,64,1546.562,2169.038,1185.513,4.831,15.57,3.799,4.994,6.574,
memory,MemorySemanticIndex,500,1536,50,200,1,5000,0.25,16,128,64,33419.779,1258494.84,16270.737,2.99,3.651,2.935,13.573,2.725,
ivs,IVSVectorIndex,500,1536,50,200,1,5000,0.25,16,128,64,24067.968,1220107.369,11571.122,3.015,7.157,2.932,9.261,2.744,
hnsw,HnswVectorIndex,500,1536,50,200,1,5000,0.25,16,128,64,6719.03,1898.178,4742.371,34.447,42.817,3.799,5.576,3.551,
memory,MemorySemanticIndex,500,1536,100,200,1,5000,0.25,16,128,64,31557.887,1343724.805,16371.328,2.99,3.653,2.935,13.787,2.721,
ivs,IVSVectorIndex,500,1536,100,200,1,5000,0.25,16,128,64,24764.367,1100594.321,11907.975,3.015,7.157,2.932,8.024,2.697,
hnsw,HnswVectorIndex,500,1536,100,200,1,5000,0.25,16,128,64,6882.502,1926.311,4623.544,34.443,43.815,3.799,5.609,3.58,
memory,MemorySemanticIndex,500,1536,500,200,1,5000,0.25,16,128,64,34133.421,1223091.977,15793.316,2.99,3.651,2.935,13.825,2.686,
ivs,IVSVectorIndex,500,1536,500,200,1,5000,0.25,16,128,64,23480.352,1235483.074,11720.834,3.015,7.157,2.932,7.975,2.717,
hnsw,HnswVectorIndex,500,1536,500,200,1,5000,0.25,16,128,64,6986.519,1885.362,4741.013,34.442,43.81,3.799,5.829,3.544,
memory,MemorySemanticIndex,1000,1536,10,200,1,5000,0.25,16,128,64,37416.328,1570351.759,13639.637,5.965,6.635,5.871,21.175,2.913,
ivs,IVSVectorIndex,1000,1536,10,200,1,5000,0.25,16,128,64,45659.807,1127777.151,8175.831,6.02,13.099,5.863,8.576,2.969,
